instance,algorithm,run,seed,seed_status,best_length,bks,deviation_percent,archived_best_length,elapsed_seconds,segment,engine_mode,three_opt_max_iterations,record_provenance,correction_note
swiss42.tsp,ACS,10,20292120,reconstructed_from_original_experiment_scripts,1285.0,1273.0,0.9426551453260016,1285.0,1.80,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,MMAS,1,20293111,reconstructed_from_original_experiment_scripts,1309.0,1273.0,2.8279654359780046,1309.0,2.00,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,2,20293112,reconstructed_from_original_experiment_scripts,1293.0,1273.0,1.5710919088766693,1293.0,1.98,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,3,20293113,reconstructed_from_original_experiment_scripts,1293.0,1273.0,1.5710919088766693,1293.0,2.00,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,4,20293114,reconstructed_from_original_experiment_scripts,1294.0,1273.0,1.6496465043205029,1294.0,1.97,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,5,20293115,reconstructed_from_original_experiment_scripts,1303.0,1273.0,2.356637863315004,1303.0,2.00,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,6,20293116,reconstructed_from_original_experiment_scripts,1306.0,1273.0,2.592301649646504,1306.0,1.99,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,7,20293117,reconstructed_from_original_experiment_scripts,1299.0,1273.0,2.04241948153967,1299.0,1.96,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,8,20293118,reconstructed_from_original_experiment_scripts,1306.0,1273.0,2.592301649646504,1306.0,1.93,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,9,20293119,reconstructed_from_original_experiment_scripts,1309.0,1273.0,2.8279654359780046,1309.0,1.99,small,mmas,20.0,archived_run_record,
swiss42.tsp,MMAS,10,20293120,reconstructed_from_original_experiment_scripts,1293.0,1273.0,1.5710919088766693,1293.0,1.10,small,mmas,20.0,archived_run_record,
swiss42.tsp,MSA-ACO,1,20255110,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,2,20255111,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,3,20255112,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,4,20255113,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,5,20255114,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,6,20255115,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,7,20255116,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,8,20255117,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,9,20255118,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,MSA-ACO,10,20255119,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,ACS,1,20302111,reconstructed_from_original_experiment_scripts,34569.0,33522.0,3.123321997494183,34569.0,1.84,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,2,20302112,reconstructed_from_original_experiment_scripts,33842.0,33522.0,0.9545969810870473,33842.0,1.94,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,3,20302113,reconstructed_from_original_experiment_scripts,33767.0,33522.0,0.7308633136447705,33767.0,1.95,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,4,20302114,reconstructed_from_original_experiment_scripts,34164.0,33522.0,1.9151601933058888,34164.0,1.94,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,5,20302115,reconstructed_from_original_experiment_scripts,33951.0,33522.0,1.2797565777698228,33951.0,1.99,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,6,20302116,reconstructed_from_original_experiment_scripts,33599.0,33522.0,0.22969989857407075,33599.0,1.95,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,7,20302117,reconstructed_from_original_experiment_scripts,34121.0,33522.0,1.7868862239723167,34121.0,1.97,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,8,20302118,reconstructed_from_original_experiment_scripts,34009.0,33522.0,1.4527772805918502,34009.0,1.87,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,9,20302119,reconstructed_from_original_experiment_scripts,33904.0,33522.0,1.1395501461726627,33904.0,2.17,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,ACS,10,20302120,reconstructed_from_original_experiment_scripts,33851.0,33522.0,0.9814450211801206,33851.0,2.19,small,acs_end_seq,20.0,archived_run_record,
att48.tsp,MMAS,1,20303111,reconstructed_from_original_experiment_scripts,36280.0,33522.0,8.227432730743988,36280.0,2.25,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,2,20303112,reconstructed_from_original_experiment_scripts,35734.0,33522.0,6.5986516317642145,35734.0,2.48,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,3,20303113,reconstructed_from_original_experiment_scripts,36545.0,33522.0,9.0179583557067,36545.0,2.40,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,4,20303114,reconstructed_from_original_experiment_scripts,35810.0,33522.0,6.825368414772388,35810.0,2.64,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,5,20303115,reconstructed_from_original_experiment_scripts,35257.0,33522.0,5.175705506831334,35257.0,2.35,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,6,20303116,reconstructed_from_original_experiment_scripts,35475.0,33522.0,5.826024700196886,35475.0,2.61,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,7,20303117,reconstructed_from_original_experiment_scripts,35195.0,33522.0,4.9907523417457185,35195.0,2.60,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,8,20303118,reconstructed_from_original_experiment_scripts,35432.0,33522.0,5.697750730863314,35432.0,2.44,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,9,20303119,reconstructed_from_original_experiment_scripts,35785.0,33522.0,6.7507905256249625,35785.0,2.56,small,mmas,20.0,archived_run_record,
att48.tsp,MMAS,10,20303120,reconstructed_from_original_experiment_scripts,35955.0,33522.0,7.257920171827456,35955.0,1.48,small,mmas,20.0,archived_run_record,
att48.tsp,MSA-ACO,1,20256110,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,2,20256111,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,3,20256112,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,4,20256113,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,5,20256114,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,6,20256115,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,7,20256116,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,8,20256117,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,9,20256118,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
att48.tsp,MSA-ACO,10,20256119,reconstructed_from_original_experiment_scripts,33522.0,33522.0,0.0,33522.0,,small,hybrid_v4_2,,archived_run_record,
eil51.tsp,ACS,1,20312111,reconstructed_from_original_experiment_scripts,441.0,426.0,3.5211267605633805,441.0,2.21,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,2,20312112,reconstructed_from_original_experiment_scripts,444.0,426.0,4.225352112676056,444.0,2.21,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,3,20312113,reconstructed_from_original_experiment_scripts,445.0,426.0,4.460093896713615,445.0,2.26,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,4,20312114,reconstructed_from_original_experiment_scripts,439.0,426.0,3.051643192488263,439.0,2.09,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,5,20312115,reconstructed_from_original_experiment_scripts,428.0,426.0,0.4694835680751174,428.0,2.13,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,6,20312116,reconstructed_from_original_experiment_scripts,436.0,426.0,2.3474178403755865,436.0,2.28,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,7,20312117,reconstructed_from_original_experiment_scripts,431.0,426.0,1.1737089201877933,431.0,2.22,small,acs_end_seq,20.0,archived_run_record,
eil51.tsp,ACS,8,20312118,reconstructed_from_original_experiment_scripts,432.0,426.0,1.4084507042253522,432.0,2.23,small,acs_end_seq,20.0,archived_run_record,
